sourcefile	id	specie	author	endemic_genus	endemic_specie	endemic_subspecie	origin	category	habitat	id_biota	gpsdatetime	latitude	longitude	gpsaltitude	name	medium	class	family	endemicity	domain	division	phylo	order	presence
images/dropbox_links_plantae/FV0002-Lavandula canariensis-Mill.-eg_no-ee_si--ns---E09113.jpg	FV0002	Lavandula canariensis	Mill.	NO	SI	-	Nativo seguro	Especie nativa		E09113	02/04/2024	28.0704717777778	-15.5277286944444	480.884	Matorrisco común, hierba risco, chivera, lavanda	Terrestre	Magnoliopsida	Lamiaceae	Endémico	Plantae	Spermatophyta	NA	Lamiales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0006-Limoniastrum monopetalum-Boiss. in A. DC.-eg_no-ee_no--isi-ei-CC-F02121.jpg	FV0006	Limoniastrum monopetalum	Boiss. in A. DC.	NO	NO	-	Introducido seguro invasor	Especie introducida	CC	F02121	10/03/2024	27.9085758333333	-15.3862744166667	64.263	Salitrosa	Terrestre	Magnoliopsida	Plumbaginaceae	No endémico	Plantae	Spermatophyta	NA	Caryophyllales	Ts Cs Fs
images/dropbox_links_plantae/FV0008-Echium plantagineum-L.-eg_no-ee_no--np--HMRN-F01188.jpg	FV0008	Echium plantagineum	L.	NO	NO	-	Nativo probable	Especie nativa	HMRN	F01188	29/03/2024	28.0416405	-15.5339509444444	885.512	Palomina, zuaja, lengua oveja, viborina	Terrestre	Magnoliopsida	Boraginaceae	No endémico	Plantae	Spermatophyta	NA	Boraginales	Hs Ps Gs Ts Cs
images/dropbox_links_plantae/FV0009-Pteridium aquilinum-(L.) Kuhn-eg_no-ee_no--np--MA_BF_PH_LHR-F00028.jpg	FV0009	Pteridium aquilinum	(L.) Kuhn	NO	NO	-	Nativo probable	Especie nativa	MA_BF_PH_LHR	F00028	29/03/2024	28.0659140277778	-15.5644936944444	919.181	Helechera, helecho de águila, helecho común,	Terrestre	Filicopsida	Dennstaedtiaceae	No endémico	Plantae	Pteridophyta	NA	Polypodiales	Hs Ps Gs Ts Cs Ls
images/dropbox_links_plantae/FV0013-Pericallis webbii-(Sch. Bip.) Bolle-eg_no-ee_si--ns---F01627.jpg	FV0013	Pericallis webbii	(Sch. Bip.) Bolle	NO	SI	-	Nativo seguro	Especie nativa		F01627	30/03/2024	27.951542	-15.5205166944444	1525.576	Flor de mayo	Terrestre	Magnoliopsida	Asteraceae	Endémico	Plantae	Spermatophyta	NA	Asterales	Tt Cs
images/dropbox_links_plantae/FV0014-Vinca major-L.-eg_no-ee_no--ip-ei-MA-F01068.jpg	FV0014	Vinca major	L.	NO	NO	-	Introducido probable	Especie introducida	MA	F01068	29/03/2024	28.0647188888889	-15.5642803611111	933.129	Vinca	Terrestre	Magnoliopsida	Apocynaceae	No endémico	Plantae	Spermatophyta	NA	Gentianales	Hs Ps Gs Ts Cs
images/dropbox_links_plantae/FV0018-Argyranthemum adauctum-(Link) Humphries-eg_no-ee_si--ns---F02144.jpg	FV0018	Argyranthemum adauctum	(Link) Humphries	NO	SI	-	Nativo seguro	Especie nativa		F02144	30/03/2024	27.9611258055556	-15.5349247222222	1566.714	NA	Terrestre	Magnoliopsida	Asteraceae	Endémico	Plantae	Spermatophyta	NA	Asterales	Hs Ps Ts Cs
images/dropbox_links_plantae/FV0019-Ranunculus cortusifolius-Willd-eg_no-ee_no--ns--LT_P_LHR_HMRN-F00117.jpg	FV0019	Ranunculus cortusifolius	Willd	NO	NO	-	Nativo seguro	Especie nativa	LT_P_LHR_HMRN	F00117	30/03/2024	27.96103975	-15.5345865833333	1575.925	Morgallana, morgallón, botón de oro, grama	Terrestre	Magnoliopsida	Ranunculaceae	No endémico	Plantae	Spermatophyta	NA	Ranunculales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0020-Carduus tenuiflorus-Curtis-eg_no-ee_no--np--HMRN-F01495.jpg	FV0020	Carduus tenuiflorus	Curtis	NO	NO	-	Nativo probable	Especie nativa	HMRN	F01495	30/03/2024	27.9611081666667	-15.5346245277778	1586.62	Cardo borriquero, cardo burro	Terrestre	Magnoliopsida	Asteraceae	No endémico	Plantae	Spermatophyta	NA	Asterales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0021-Asphodelus ramosus-L.-eg_no-ee_no-es_no-np---F02188.jpg	FV0021	Asphodelus ramosus	L.	NO	NO	NO	Nativo probable	Especie nativa		F02188	30/03/2024	27.9633795555556	-15.5691486666667	1966.816	NA	Terrestre	Liliopsida	Xanthorrhoeaceae	No endémico	Plantae	Spermatophyta	NA	Asparagales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0023-Lavandula dentata-L.-eg_no-ee_no--isn-ei--F01307.jpg	FV0023	Lavandula dentata	L.	NO	NO	-	Introducido seguro no invasor	Especie introducida		F01307	30/03/2024	27.9755526388889	-15.5823324722222	1754.564	Alhucema rizada	Terrestre	Magnoliopsida	Lamiaceae	No endémico	Plantae	Spermatophyta	NA	Lamiales	Ps Gs Ts Cs Ls
images/dropbox_links_plantae/FV0026-Calotropis procera-(Aiton) W. T. Aiton-eg_no-ee_no--isi-ei--F01070.jpg	FV0026	Calotropis procera	(Aiton) W. T. Aiton	NO	NO	-	Introducido seguro invasor	Especie introducida		F01070	10/04/2024	27.7955213888889	-15.5260202777778	70.573	Algodón de seda, árbol de la seda, manzano de Sodoma, roostertree, swallow-wort	Terrestre	Magnoliopsida	Apocynaceae	No endémico	Plantae	Spermatophyta	NA	Gentianales	Cs Fs
images/dropbox_links_plantae/FV0027-Athamanta montana-(Webb ex H. Christ) Spalik, A. Wojew & S.R.Downie-eg_si-ee_si--ns--LHR-F01388.jpg	FV0027	Athamanta montana	(Webb ex H. Christ) Spalik, A. Wojew & S.R.Downie	SI	SI	-	Nativo seguro	Especie nativa	LHR	F01388	30/03/2024	27.9628145555556	-15.5695924722222	1958.781	Cañaheja blanca	Terrestre	Magnoliopsida	Apiaceae	Endémico	Plantae	Spermatophyta	NA	Apiales	Hs Ps Gs Ts Cs
images/dropbox_links_plantae/FV0030-Artemisia thuscula-Cav.-eg_no-ee_si--ns--TC_BT_LHR-F01428.jpg	FV0030	Artemisia thuscula	Cav.	NO	SI	-	Nativo seguro	Especie nativa	TC_BT_LHR	F01428	30/03/2024	28.033605	-15.4963275277778	527.477	Incienso canario, incienso morisco, abrotano, incensio	Terrestre	Magnoliopsida	Asteraceae	Endémico	Plantae	Spermatophyta	NA	Asterales	Hs Ps Gs Ts Cs
images/dropbox_links_plantae/FV0032-Echium plantagineum-L.-eg_no-ee_no--np--HMRN-F01188.jpg	FV0032	Echium plantagineum	L.	NO	NO	-	Nativo probable	Especie nativa	HMRN	F01188	30/03/2024	28.0331348333333	-15.4952678888889	523.451	Palomina, zuaja, lengua oveja, viborina	Terrestre	Magnoliopsida	Boraginaceae	No endémico	Plantae	Spermatophyta	NA	Boraginales	Hs Ps Gs Ts Cs
images/dropbox_links_plantae/FV0035-Lavandula canariensis-Mill.-eg_no-ee_si--ns---E09113.jpg	FV0035	Lavandula canariensis	Mill.	NO	SI	-	Nativo seguro	Especie nativa		E09113	30/03/2024	28.0330373055556	-15.4966460277778	542.181	Matorrisco común, hierba risco, chivera, lavanda	Terrestre	Magnoliopsida	Lamiaceae	Endémico	Plantae	Spermatophyta	NA	Lamiales	Hs Ps Gs Ts Cs Fs Ls
images/dropbox_links_plantae/FV0036-Reseda luteola-L.-eg_no-ee_no--np--HMRN-F00986.jpg	FV0036	Reseda luteola	L.	NO	NO	-	Nativo probable	Especie nativa	HMRN	F00986	04/04/2024	27.9505911111111	-15.6592233055556	1233.031	Gualda	Terrestre	Magnoliopsida	Resedaceae	No endémico	Plantae	Spermatophyta	NA	Brassicales	Hs Ps Ts Cs Fs Ls
images/dropbox_links_plantae/FV0039-Echium plantagineum-L.-eg_no-ee_no--np--HMRN-F01188.jpg	FV0039	Echium plantagineum	L.	NO	NO	-	Nativo probable	Especie nativa	HMRN	F01188	04/04/2024	27.9505273888889	-15.6591073611111	1241.673	Palomina, zuaja, lengua oveja, viborina	Terrestre	Magnoliopsida	Boraginaceae	No endémico	Plantae	Spermatophyta	NA	Boraginales	Hs Ps Gs Ts Cs
images/dropbox_links_plantae/FV0047-Plantago arborescens arborescens-Poir.-eg_no-ee_si-es_si-ns--LHR-F01268.jpg	FV0047	Plantago arborescens arborescens	Poir.	NO	SI	SI	Nativo seguro	Especie nativa	LHR	F01268	14/04/2024	28.066393	-15.4605703333333	301.703	Pinillo común	Terrestre	Magnoliopsida	Plantaginaceae	Endémico	Plantae	Spermatophyta	NA	Lamiales	Hs Ps Gs Ts Cs
